--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 25: R=-175.70, I=136.77, Magnitude=222.66
  Doppler Bin 26: R=-120.98, I=-11.81, Magnitude=121.56
  Doppler Bin 27: R=-41.92, I=169.97, Magnitude=175.06
  Doppler Bin 28: R=36.32, I=26.37, Magnitude=44.88
  Doppler Bin 29: R=-81.80, I=27.89, Magnitude=86.43
  Doppler Bin 30: R=82.56, I=-66.38, Magnitude=105.94
  Doppler Bin 31: R=-65.28, I=143.53, Magnitude=157.67
  Doppler Bin 32: R=7611.15, I=2694.74, Magnitude=8074.10
  Doppler Bin 33: R=40.37, I=-10.94, Magnitude=41.82
  Doppler Bin 34: R=-124.24, I=-75.85, Magnitude=145.57
  Doppler Bin 35: R=-178.53, I=-33.77, Magnitude=181.69
  Doppler Bin 36: R=-173.49, I=-76.97, Magnitude=189.80
  Doppler Bin 37: R=-220.34, I=285.48, Magnitude=360.62
  Doppler Bin 38: R=68.44, I=20.34, Magnitude=71.40
  Doppler Bin 39: R=-26.59, I=-87.69, Magnitude=91.63
  Doppler Bin 40: R=-181.88, I=58.41, Magnitude=191.03
  Doppler Bin 41: R=-176.03, I=111.39, Magnitude=208.31
  Doppler Bin 42: R=83.72, I=-45.33, Magnitude=95.20
  Doppler Bin 43: R=-6.68, I=57.46, Magnitude=57.85
  Doppler Bin 44: R=25.52, I=-10.50, Magnitude=27.60
  Doppler Bin 45: R=-57.73, I=44.84, Magnitude=73.10
  Doppler Bin 46: R=-113.78, I=-61.28, Magnitude=129.24
  Doppler Bin 47: R=-56.68, I=103.94, Magnitude=118.39
  Doppler Bin 48: R=-165.64, I=297.90, Magnitude=340.85
  Doppler Bin 49: R=182.09, I=144.93, Magnitude=232.72
  Doppler Bin 50: R=37.91, I=-130.29, Magnitude=135.69
  Doppler Bin 51: R=17.36, I=17.12, Magnitude=24.39
  Doppler Bin 52: R=-153.46, I=-110.87, Magnitude=189.32
  Doppler Bin 53: R=263.26, I=-141.09, Magnitude=298.68
  Doppler Bin 54: R=-33.13, I=15.81, Magnitude=36.71
  Doppler Bin 55: R=-288.20, I=-91.74, Magnitude=302.45
  Doppler Bin 56: R=49.21, I=119.13, Magnitude=128.89
  Doppler Bin 57: R=33.32, I=-216.71, Magnitude=219.26
  Doppler Bin 58: R=112.07, I=-157.54, Magnitude=193.33
  Doppler Bin 59: R=-193.87, I=88.81, Magnitude=213.25
  Doppler Bin 60: R=-185.60, I=148.92, Magnitude=237.96
  Doppler Bin 61: R=-5.34, I=-36.44, Magnitude=36.83
  Doppler Bin 62: R=-102.99, I=-101.43, Magnitude=144.55
  Doppler Bin 63: R=92.69, I=-7.12, Magnitude=92.96

--- Ant 0 / Range Bin 2 Doppler FFT Results ---
  Doppler Bin 0: R=-36.93, I=124.16, Magnitude=129.54
  Doppler Bin 1: R=-134.55, I=127.19, Magnitude=185.15
  Doppler Bin 2: R=-36.44, I=-104.33, Magnitude=110.51
  Doppler Bin 3: R=135.62, I=-64.84, Magnitude=150.33
  Doppler Bin 4: R=139.49, I=-360.58, Magnitude=386.63
  Doppler Bin 5: R=104.50, I=33.96, Magnitude=109.88
  Doppler Bin 6: R=164.57, I=-96.71, Magnitude=190.88
  Doppler Bin 7: R=29.60, I=-43.35, Magnitude=52.49
  Doppler Bin 8: R=141.99, I=55.05, Magnitude=152.29
  Doppler Bin 9: R=23.65, I=-99.32, Magnitude=102.09
  Doppler Bin 10: R=-75.36, I=186.73, Magnitude=201.37
  Doppler Bin 11: R=186.01, I=-27.56, Magnitude=188.04
  Doppler Bin 12: R=27.99, I=-173.28, Magnitude=175.52
  Doppler Bin 13: R=-155.08, I=-45.68, Magnitude=161.67
  Doppler Bin 14: R=139.15, I=-17.17, Magnitude=140.20
  Doppler Bin 15: R=48.34, I=-79.02, Magnitude=92.64
  Doppler Bin 16: R=45.14, I=-70.37, Magnitude=83.60
  Doppler Bin 17: R=20.08, I=80.51, Magnitude=82.97
  Doppler Bin 18: R=-38.03, I=247.43, Magnitude=250.34
  Doppler Bin 19: R=-116.57, I=-61.36, Magnitude=131.73
  Doppler Bin 20: R=-187.19, I=-1.84, Magnitude=187.20
  Doppler Bin 21: R=31.06, I=25.59, Magnitude=40.25
  Doppler Bin 22: R=152.16, I=-36.35, Magnitude=156.45
  Doppler Bin 23: R=-126.39, I=-39.35, Magnitude=132.37
  Doppler Bin 24: R=-19.52, I=58.00, Magnitude=61.20
  Doppler Bin 25: R=35.42, I=-154.55, Magnitude=158.56
  Doppler Bin 26: R=41.76, I=-225.91, Magnitude=229.74
  Doppler Bin 27: R=-61.33, I=-87.01, Magnitude=106.46
  Doppler Bin 28: R=-103.25, I=3.62, Magnitude=103.32
  Doppler Bin 29: R=15.55, I=-153.27, Magnitude=154.05
  Doppler Bin 30: R=-87.29, I=-68.32, Magnitude=110.85
  Doppler Bin 31: R=-40.39, I=-216.61, Magnitude=220.35
  Doppler Bin 32: R=-10070.77, I=7651.68, Magnitude=12647.87
  Doppler Bin 33: R=-166.34, I=4.21, Magnitude=166.40
  Doppler Bin 34: R=0.85, I=270.61, Magnitude=270.61
  Doppler Bin 35: R=-28.58, I=175.41, Magnitude=177.73
  Doppler Bin 36: R=-20.93, I=-133.34, Magnitude=134.97
  Doppler Bin 37: R=222.59, I=-188.28, Magnitude=291.54
  Doppler Bin 38: R=-47.01, I=145.44, Magnitude=152.85
  Doppler Bin 39: R=-55.32, I=127.04, Magnitude=138.56
  Doppler Bin 40: R=287.45, I=-122.50, Magnitude=312.46
  Doppler Bin 41: R=159.18, I=-109.75, Magnitude=193.35
  Doppler Bin 42: R=-45.50, I=61.38, Magnitude=76.40
  Doppler Bin 43: R=202.13, I=-95.37, Magnitude=223.50
  Doppler Bin 44: R=-267.41, I=71.87, Magnitude=276.90
  Doppler Bin 45: R=11.72, I=-43.66, Magnitude=45.21
