Ant 0 / Chirp 42 / Point 2 (Raw: 240, Parsed: -20)
Ant 0 / Chirp 43 / Point 2 (Raw: 9, Parsed: -24)
Ant 0 / Chirp 44 / Point 2 (Raw: 237, Parsed: -24)
Ant 0 / Chirp 45 / Point 2 (Raw: 21, Parsed: -21)
Ant 0 / Chirp 46 / Point 2 (Raw: 248, Parsed: -17)
Ant 0 / Chirp 47 / Point 2 (Raw: 8, Parsed: -20)
Ant 0 / Chirp 48 / Point 2 (Raw: 242, Parsed: -25)
Ant 0 / Chirp 49 / Point 2 (Raw: 17, Parsed: -23)
Ant 0 / Chirp 50 / Point 2 (Raw: 239, Parsed: -15)
Ant 0 / Chirp 51 / Point 2 (Raw: 19, Parsed: -15)
Ant 0 / Chirp 52 / Point 2 (Raw: 239, Parsed: -20)
Ant 0 / Chirp 53 / Point 2 (Raw: 17, Parsed: -11)
Ant 0 / Chirp 54 / Point 2 (Raw: 245, Parsed: -14)
Ant 0 / Chirp 55 / Point 2 (Raw: 18, Parsed: -17)
Ant 0 / Chirp 56 / Point 2 (Raw: 243, Parsed: -14)
Ant 0 / Chirp 57 / Point 2 (Raw: 21, Parsed: -14)
Ant 0 / Chirp 58 / Point 2 (Raw: 242, Parsed: -22)
Ant 0 / Chirp 59 / Point 2 (Raw: 22, Parsed: -13)
Ant 0 / Chirp 60 / Point 2 (Raw: 239, Parsed: -15)
Ant 0 / Chirp 61 / Point 2 (Raw: 11, Parsed: -17)
Ant 0 / Chirp 62 / Point 2 (Raw: 242, Parsed: -12)
Ant 0 / Chirp 63 / Point 2 (Raw: 20, Parsed: -15)
Ant 0 / Chirp 0 / Point 3 (Raw: 220, Parsed: -36)
Ant 0 / Chirp 1 / Point 3 (Raw: 7, Parsed: -33)
Ant 0 / Chirp 2 / Point 3 (Raw: 223, Parsed: -34)
Ant 0 / Chirp 3 / Point 3 (Raw: 8, Parsed: -34)
Ant 0 / Chirp 4 / Point 3 (Raw: 222, Parsed: -38)
Ant 0 / Chirp 5 / Point 3 (Raw: 3, Parsed: -31)
Ant 0 / Chirp 6 / Point 3 (Raw: 222, Parsed: -32)
Ant 0 / Chirp 7 / Point 3 (Raw: 7, Parsed: -37)
Ant 0 / Chirp 8 / Point 3 (Raw: 218, Parsed: -37)
Ant 0 / Chirp 9 / Point 3 (Raw: 8, Parsed: -32)
Ant 0 / Chirp 10 / Point 3 (Raw: 225, Parsed: -39)
Ant 0 / Chirp 11 / Point 3 (Raw: 7, Parsed: -37)
Ant 0 / Chirp 12 / Point 3 (Raw: 224, Parsed: -35)
Ant 0 / Chirp 13 / Point 3 (Raw: 8, Parsed: -36)
Ant 0 / Chirp 14 / Point 3 (Raw: 219, Parsed: -43)
Ant 0 / Chirp 15 / Point 3 (Raw: 7, Parsed: -44)
Ant 0 / Chirp 16 / Point 3 (Raw: 219, Parsed: -33)
Ant 0 / Chirp 17 / Point 3 (Raw: 9, Parsed: -33)
Ant 0 / Chirp 18 / Point 3 (Raw: 224, Parsed: -39)
Ant 0 / Chirp 19 / Point 3 (Raw: 8, Parsed: -34)
Ant 0 / Chirp 20 / Point 3 (Raw: 217, Parsed: -38)
Ant 0 / Chirp 21 / Point 3 (Raw: 8, Parsed: -33)
Ant 0 / Chirp 22 / Point 3 (Raw: 219, Parsed: -34)
Ant 0 / Chirp 23 / Point 3 (Raw: 10, Parsed: -32)
Ant 0 / Chirp 24 / Point 3 (Raw: 221, Parsed: -30)
Ant 0 / Chirp 25 / Point 3 (Raw: 1, Parsed: -34)
Ant 0 / Chirp 26 / Point 3 (Raw: 220, Parsed: -30)
Ant 0 / Chirp 27 / Point 3 (Raw: 9, Parsed: -28)
Ant 0 / Chirp 28 / Point 3 (Raw: 213, Parsed: -33)
Ant 0 / Chirp 29 / Point 3 (Raw: 6, Parsed: -36)
Ant 0 / Chirp 30 / Point 3 (Raw: 212, Parsed: -35)
Ant 0 / Chirp 31 / Point 3 (Raw: 8, Parsed: -34)
Ant 0 / Chirp 32 / Point 3 (Raw: 223, Parsed: -40)
Ant 0 / Chirp 33 / Point 3 (Raw: 5, Parsed: -37)
Ant 0 / Chirp 34 / Point 3 (Raw: 223, Parsed: -34)
Ant 0 / Chirp 35 / Point 3 (Raw: 14, Parsed: -37)
Ant 0 / Chirp 36 / Point 3 (Raw: 217, Parsed: -41)
Ant 0 / Chirp 37 / Point 3 (Raw: 11, Parsed: -38)
Ant 0 / Chirp 38 / Point 3 (Raw: 222, Parsed: -32)
Ant 0 / Chirp 39 / Point 3 (Raw: 10, Parsed: -35)
Ant 0 / Chirp 40 / Point 3 (Raw: 218, Parsed: -36)
Ant 0 / Chirp 41 / Point 3 (Raw: 1, Parsed: -41)
Ant 0 / Chirp 42 / Point 3 (Raw: 223, Parsed: -34)
Ant 0 / Chirp 43 / Point 3 (Raw: 9, Parsed: -38)
Ant 0 / Chirp 44 / Point 3 (Raw: 222, Parsed: -38)
Ant 0 / Chirp 45 / Point 3 (Raw: 11, Parsed: -42)
Ant 0 / Chirp 46 / Point 3 (Raw: 224, Parsed: -35)
Ant 0 / Chirp 47 / Point 3 (Raw: 11, Parsed: -33)
Ant 0 / Chirp 48 / Point 3 (Raw: 226, Parsed: -38)
Ant 0 / Chirp 49 / Point 3 (Raw: 5, Parsed: -31)
Ant 0 / Chirp 50 / Point 3 (Raw: 222, Parsed: -31)
Ant 0 / Chirp 51 / Point 3 (Raw: 0, Parsed: -44)
Ant 0 / Chirp 52 / Point 3 (Raw: 226, Parsed: -34)
Ant 0 / Chirp 53 / Point 3 (Raw: 11, Parsed: -39)
Ant 0 / Chirp 54 / Point 3 (Raw: 228, Parsed: -37)
Ant 0 / Chirp 55 / Point 3 (Raw: 10, Parsed: -36)
Ant 0 / Chirp 56 / Point 3 (Raw: 223, Parsed: -40)
Ant 0 / Chirp 57 / Point 3 (Raw: 11, Parsed: -33)
Ant 0 / Chirp 58 / Point 3 (Raw: 220, Parsed: -39)
Ant 0 / Chirp 59 / Point 3 (Raw: 13, Parsed: -34)
Ant 0 / Chirp 60 / Point 3 (Raw: 221, Parsed: -33)
Ant 0 / Chirp 61 / Point 3 (Raw: 2, Parsed: -40)
Ant 0 / Chirp 62 / Point 3 (Raw: 222, Parsed: -39)
Ant 0 / Chirp 63 / Point 3 (Raw: 8, Parsed: -32)
Ant 0 / Chirp 0 / Point 4 (Raw: 223, Parsed: -33)
Ant 0 / Chirp 1 / Point 4 (Raw: 253, Parsed: -28)
Ant 0 / Chirp 2 / Point 4 (Raw: 228, Parsed: -34)
Ant 0 / Chirp 3 / Point 4 (Raw: 2, Parsed: -38)
Ant 0 / Chirp 4 / Point 4 (Raw: 222, Parsed: -36)
Ant 0 / Chirp 5 / Point 4 (Raw: 254, Parsed: -37)
Ant 0 / Chirp 6 / Point 4 (Raw: 218, Parsed: -30)
Ant 0 / Chirp 7 / Point 4 (Raw: 5, Parsed: -36)
Ant 0 / Chirp 8 / Point 4 (Raw: 220, Parsed: -34)
Ant 0 / Chirp 9 / Point 4 (Raw: 5, Parsed: -33)
Ant 0 / Chirp 10 / Point 4 (Raw: 219, Parsed: -34)
Ant 0 / Chirp 11 / Point 4 (Raw: 1, Parsed: -40)
Ant 0 / Chirp 12 / Point 4 (Raw: 226, Parsed: -39)
Ant 0 / Chirp 13 / Point 4 (Raw: 1, Parsed: -37)
Ant 0 / Chirp 14 / Point 4 (Raw: 220, Parsed: -40)
Ant 0 / Chirp 15 / Point 4 (Raw: 0, Parsed: -40)
Ant 0 / Chirp 16 / Point 4 (Raw: 222, Parsed: -37)
Ant 0 / Chirp 17 / Point 4 (Raw: 1, Parsed: -40)
Ant 0 / Chirp 18 / Point 4 (Raw: 223, Parsed: -32)
Ant 0 / Chirp 19 / Point 4 (Raw: 251, Parsed: -33)
Ant 0 / Chirp 20 / Point 4 (Raw: 222, Parsed: -42)
Ant 0 / Chirp 21 / Point 4 (Raw: 0, Parsed: -35)
Ant 0 / Chirp 22 / Point 4 (Raw: 216, Parsed: -36)
Ant 0 / Chirp 23 / Point 4 (Raw: 1, Parsed: -37)
Ant 0 / Chirp 24 / Point 4 (Raw: 217, Parsed: -38)
Ant 0 / Chirp 25 / Point 4 (Raw: 1, Parsed: -34)
Ant 0 / Chirp 26 / Point 4 (Raw: 219, Parsed: -41)
Ant 0 / Chirp 27 / Point 4 (Raw: 6, Parsed: -41)
Ant 0 / Chirp 28 / Point 4 (Raw: 216, Parsed: -38)
Ant 0 / Chirp 29 / Point 4 (Raw: 1, Parsed: -35)
Ant 0 / Chirp 30 / Point 4 (Raw: 216, Parsed: -43)
Ant 0 / Chirp 31 / Point 4 (Raw: 253, Parsed: -35)
Ant 0 / Chirp 32 / Point 4 (Raw: 219, Parsed: -39)
Ant 0 / Chirp 33 / Point 4 (Raw: 254, Parsed: -41)
Ant 0 / Chirp 34 / Point 4 (Raw: 216, Parsed: -37)
Ant 0 / Chirp 35 / Point 4 (Raw: 6, Parsed: -40)
Ant 0 / Chirp 36 / Point 4 (Raw: 224, Parsed: -41)
Ant 0 / Chirp 37 / Point 4 (Raw: 2, Parsed: -27)
Ant 0 / Chirp 38 / Point 4 (Raw: 223, Parsed: -42)
Ant 0 / Chirp 39 / Point 4 (Raw: 252, Parsed: -37)
Ant 0 / Chirp 40 / Point 4 (Raw: 214, Parsed: -37)
Ant 0 / Chirp 41 / Point 4 (Raw: 0, Parsed: -33)
Ant 0 / Chirp 42 / Point 4 (Raw: 221, Parsed: -38)
Ant 0 / Chirp 43 / Point 4 (Raw: 8, Parsed: -31)
Ant 0 / Chirp 44 / Point 4 (Raw: 220, Parsed: -23)
Ant 0 / Chirp 45 / Point 4 (Raw: 0, Parsed: -34)
Ant 0 / Chirp 46 / Point 4 (Raw: 219, Parsed: -30)
Ant 0 / Chirp 47 / Point 4 (Raw: 3, Parsed: -33)
Ant 0 / Chirp 48 / Point 4 (Raw: 218, Parsed: -32)
Ant 0 / Chirp 49 / Point 4 (Raw: 254, Parsed: -40)
Ant 0 / Chirp 50 / Point 4 (Raw: 222, Parsed: -35)
Ant 0 / Chirp 51 / Point 4 (Raw: 4, Parsed: -28)
Ant 0 / Chirp 52 / Point 4 (Raw: 215, Parsed: -28)
Ant 0 / Chirp 53 / Point 4 (Raw: 3, Parsed: -35)
Ant 0 / Chirp 54 / Point 4 (Raw: 215, Parsed: -40)
Ant 0 / Chirp 55 / Point 4 (Raw: 1, Parsed: -27)
Ant 0 / Chirp 56 / Point 4 (Raw: 218, Parsed: -35)
Ant 0 / Chirp 57 / Point 4 (Raw: 255, Parsed: -31)
Ant 0 / Chirp 58 / Point 4 (Raw: 221, Parsed: -33)
Ant 0 / Chirp 59 / Point 4 (Raw: 3, Parsed: -34)
Ant 0 / Chirp 60 / Point 4 (Raw: 213, Parsed: -32)
Ant 0 / Chirp 61 / Point 4 (Raw: 3, Parsed: -32)
Ant 0 / Chirp 62 / Point 4 (Raw: 221, Parsed: -36)
Ant 0 / Chirp 63 / Point 4 (Raw: 5, Parsed: -32)
Ant 0 / Chirp 0 / Point 5 (Raw: 231, Parsed: -25)
Ant 0 / Chirp 1 / Point 5 (Raw: 9, Parsed: -22)
Ant 0 / Chirp 2 / Point 5 (Raw: 234, Parsed: -24)
Ant 0 / Chirp 3 / Point 5 (Raw: 10, Parsed: -24)
Ant 0 / Chirp 4 / Point 5 (Raw: 232, Parsed: -19)
Ant 0 / Chirp 5 / Point 5 (Raw: 7, Parsed: -21)
Ant 0 / Chirp 6 / Point 5 (Raw: 232, Parsed: -20)
Ant 0 / Chirp 7 / Point 5 (Raw: 2, Parsed: -21)
Ant 0 / Chirp 8 / Point 5 (Raw: 237, Parsed: -22)
Ant 0 / Chirp 9 / Point 5 (Raw: 7, Parsed: -19)
Ant 0 / Chirp 10 / Point 5 (Raw: 235, Parsed: -25)
Ant 0 / Chirp 11 / Point 5 (Raw: 2, Parsed: -19)
Ant 0 / Chirp 12 / Point 5 (Raw: 236, Parsed: -19)
Ant 0 / Chirp 13 / Point 5 (Raw: 6, Parsed: -24)
Ant 0 / Chirp 14 / Point 5 (Raw: 235, Parsed: -12)
Ant 0 / Chirp 15 / Point 5 (Raw: 2, Parsed: -17)
Ant 0 / Chirp 16 / Point 5 (Raw: 234, Parsed: -23)
Ant 0 / Chirp 17 / Point 5 (Raw: 5, Parsed: -19)
Ant 0 / Chirp 18 / Point 5 (Raw: 237, Parsed: -17)
Ant 0 / Chirp 19 / Point 5 (Raw: 10, Parsed: -27)
Ant 0 / Chirp 20 / Point 5 (Raw: 231, Parsed: -21)
Ant 0 / Chirp 21 / Point 5 (Raw: 8, Parsed: -29)
Ant 0 / Chirp 22 / Point 5 (Raw: 237, Parsed: -21)
Ant 0 / Chirp 23 / Point 5 (Raw: 2, Parsed: -22)
Ant 0 / Chirp 24 / Point 5 (Raw: 237, Parsed: -29)
Ant 0 / Chirp 25 / Point 5 (Raw: 8, Parsed: -22)
Ant 0 / Chirp 26 / Point 5 (Raw: 232, Parsed: -20)
Ant 0 / Chirp 27 / Point 5 (Raw: 7, Parsed: -22)
Ant 0 / Chirp 28 / Point 5 (Raw: 244, Parsed: -18)
Ant 0 / Chirp 29 / Point 5 (Raw: 3, Parsed: -19)
Ant 0 / Chirp 30 / Point 5 (Raw: 239, Parsed: -23)
Ant 0 / Chirp 31 / Point 5 (Raw: 5, Parsed: -24)
Ant 0 / Chirp 32 / Point 5 (Raw: 233, Parsed: -23)
Ant 0 / Chirp 33 / Point 5 (Raw: 5, Parsed: -21)
Ant 0 / Chirp 34 / Point 5 (Raw: 237, Parsed: -24)
Ant 0 / Chirp 35 / Point 5 (Raw: 6, Parsed: -27)
Ant 0 / Chirp 36 / Point 5 (Raw: 239, Parsed: -27)
Ant 0 / Chirp 37 / Point 5 (Raw: 6, Parsed: -20)
Ant 0 / Chirp 38 / Point 5 (Raw: 229, Parsed: -18)
Ant 0 / Chirp 39 / Point 5 (Raw: 8, Parsed: -17)
Ant 0 / Chirp 40 / Point 5 (Raw: 235, Parsed: -23)
Ant 0 / Chirp 41 / Point 5 (Raw: 7, Parsed: -22)
Ant 0 / Chirp 42 / Point 5 (Raw: 227, Parsed: -27)
Ant 0 / Chirp 43 / Point 5 (Raw: 4, Parsed: -16)
Ant 0 / Chirp 44 / Point 5 (Raw: 235, Parsed: -11)
Ant 0 / Chirp 45 / Point 5 (Raw: 9, Parsed: -17)
Ant 0 / Chirp 46 / Point 5 (Raw: 234, Parsed: -27)
Ant 0 / Chirp 47 / Point 5 (Raw: 5, Parsed: -16)
Ant 0 / Chirp 48 / Point 5 (Raw: 227, Parsed: -20)
Ant 0 / Chirp 49 / Point 5 (Raw: 4, Parsed: -23)
Ant 0 / Chirp 50 / Point 5 (Raw: 234, Parsed: -19)
Ant 0 / Chirp 51 / Point 5 (Raw: 8, Parsed: -17)
Ant 0 / Chirp 52 / Point 5 (Raw: 236, Parsed: -17)
Ant 0 / Chirp 53 / Point 5 (Raw: 10, Parsed: -18)
Ant 0 / Chirp 54 / Point 5 (Raw: 234, Parsed: -18)
Ant 0 / Chirp 55 / Point 5 (Raw: 9, Parsed: -7)
Ant 0 / Chirp 56 / Point 5 (Raw: 238, Parsed: -10)
Ant 0 / Chirp 57 / Point 5 (Raw: 6, Parsed: -10)
