--- DC Removal Log Data (Post-Clutter Removal) ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
FFT Range Bins (Output): 64
-------------------------------------

--- Ant 0 / Chirp 0 FFT Results (Post-DC) ---
  Range Bin 31: R=-39.06, I=-59.73, Magnitude=71.37
  Range Bin 32: R=-41.98, I=-6.21, Magnitude=42.44
  Range Bin 33: R=112.92, I=33.14, Magnitude=117.69
  Range Bin 34: R=-120.58, I=-61.77, Magnitude=135.48
  Range Bin 35: R=3.34, I=71.71, Magnitude=71.79
  Range Bin 36: R=-62.41, I=-59.00, Magnitude=85.88
  Range Bin 37: R=217.52, I=19.46, Magnitude=218.39
  Range Bin 38: R=-270.80, I=10.84, Magnitude=271.01
  Range Bin 39: R=71.14, I=41.04, Magnitude=82.12
  Range Bin 40: R=58.77, I=-148.74, Magnitude=159.93
  Range Bin 41: R=-51.56, I=47.15, Magnitude=69.86
  Range Bin 42: R=38.32, I=102.93, Magnitude=109.83
  Range Bin 43: R=35.41, I=-182.54, Magnitude=185.94
  Range Bin 44: R=-81.59, I=285.35, Magnitude=296.79
  Range Bin 45: R=-101.56, I=-237.45, Magnitude=258.26
  Range Bin 46: R=154.76, I=28.77, Magnitude=157.41
  Range Bin 47: R=-91.42, I=17.37, Magnitude=93.05
  Range Bin 48: R=8.39, I=5.99, Magnitude=10.31
  Range Bin 49: R=134.94, I=47.21, Magnitude=142.96
  Range Bin 50: R=-117.63, I=-8.71, Magnitude=117.95
  Range Bin 51: R=13.68, I=-71.86, Magnitude=73.15
  Range Bin 52: R=-47.27, I=88.44, Magnitude=100.28
  Range Bin 53: R=72.98, I=-47.62, Magnitude=87.14
  Range Bin 54: R=-34.04, I=37.83, Magnitude=50.89
  Range Bin 55: R=-5.58, I=-24.03, Magnitude=24.67
  Range Bin 56: R=-64.00, I=24.28, Magnitude=68.46
  Range Bin 57: R=28.18, I=-84.22, Magnitude=88.81
  Range Bin 58: R=72.36, I=55.81, Magnitude=91.38
  Range Bin 59: R=-130.00, I=8.96, Magnitude=130.31
  Range Bin 60: R=96.14, I=39.53, Magnitude=103.95
  Range Bin 61: R=8.87, I=-62.88, Magnitude=63.50
  Range Bin 62: R=-25.22, I=70.22, Magnitude=74.61
  Range Bin 63: R=-142.17, I=-104.89, Magnitude=176.67

--- Ant 0 / Chirp 2 FFT Results (Post-DC) ---
  Range Bin 0: R=55.83, I=0.00, Magnitude=55.83
  Range Bin 1: R=-28.92, I=-15.31, Magnitude=32.72
  Range Bin 2: R=-17.90, I=26.01, Magnitude=31.58
  Range Bin 3: R=1.79, I=-22.39, Magnitude=22.46
  Range Bin 4: R=62.69, I=28.33, Magnitude=68.79
  Range Bin 5: R=-46.66, I=5.11, Magnitude=46.94
  Range Bin 6: R=-35.63, I=-10.27, Magnitude=37.08
  Range Bin 7: R=51.60, I=-1.74, Magnitude=51.63
  Range Bin 8: R=-8.46, I=-18.42, Magnitude=20.27
  Range Bin 9: R=-39.32, I=52.77, Magnitude=65.81
  Range Bin 10: R=5.89, I=-78.17, Magnitude=78.39
  Range Bin 11: R=96.85, I=85.54, Magnitude=129.22
  Range Bin 12: R=-86.37, I=-69.57, Magnitude=110.91
  Range Bin 13: R=23.18, I=31.27, Magnitude=38.93
  Range Bin 14: R=24.56, I=-23.91, Magnitude=34.28
  Range Bin 15: R=-17.29, I=21.44, Magnitude=27.54
  Range Bin 16: R=-25.51, I=30.29, Magnitude=39.60
  Range Bin 17: R=-20.29, I=-24.06, Magnitude=31.47
  Range Bin 18: R=69.14, I=-23.02, Magnitude=72.88
